t_ms h_imr h_echo
46.300000 -7.870e-07 -4.269e-04
46.400000 2.859e-07 1.551e-04
46.500000 8.802e-07 4.774e-04
46.600000 2.587e-07 1.403e-04
46.700000 -6.443e-07 -3.495e-04
46.800000 -6.129e-07 -3.324e-04
46.900000 2.227e-07 1.208e-04
47.000000 6.855e-07 3.718e-04
47.100000 2.015e-07 1.093e-04
47.200000 -5.018e-07 -2.722e-04
47.300000 -4.773e-07 -2.589e-04
47.400000 1.734e-07 9.407e-05
47.500000 5.339e-07 2.896e-04
47.600000 1.569e-07 8.512e-05
47.700000 -3.908e-07 -2.120e-04
47.800000 -3.717e-07 -2.016e-04
47.900000 1.351e-07 7.326e-05
48.000000 4.158e-07 2.255e-04
48.100000 1.222e-07 6.629e-05
48.200000 -3.044e-07 -1.651e-04
48.300000 -2.895e-07 -1.570e-04
48.400000 1.052e-07 5.706e-05
48.500000 3.238e-07 1.756e-04
48.600000 9.518e-08 5.163e-05
48.700000 -2.370e-07 -1.286e-04
48.800000 -2.255e-07 -1.223e-04
48.900000 8.192e-08 4.444e-05
49.000000 2.522e-07 1.368e-04
49.100000 7.413e-08 4.021e-05
49.200000 -1.846e-07 -1.001e-04
49.300000 -1.756e-07 -9.525e-05
49.400000 6.380e-08 3.461e-05
49.500000 1.964e-07 1.065e-04
49.600000 5.773e-08 3.131e-05
49.700000 -1.438e-07 -7.798e-05
49.800000 -1.368e-07 -7.418e-05
49.900000 4.969e-08 2.695e-05
50.000000 1.530e-07 8.296e-05
50.100000 4.496e-08 2.439e-05
50.200000 -1.120e-07 -6.073e-05
50.300000 -1.065e-07 -5.777e-05
50.400000 3.870e-08 2.099e-05
50.500000 1.191e-07 6.461e-05
50.600000 3.501e-08 1.899e-05
50.700000 -8.720e-08 -4.730e-05
50.800000 -8.295e-08 -4.499e-05
50.900000 3.014e-08 1.635e-05
51.000000 9.277e-08 5.032e-05
51.100000 2.727e-08 1.479e-05
51.200000 -6.791e-08 -3.684e-05
51.300000 -6.460e-08 -3.504e-05
51.400000 2.347e-08 1.273e-05
51.500000 7.225e-08 3.919e-05
51.600000 2.124e-08 1.152e-05
51.700000 -5.289e-08 -2.869e-05
51.800000 -5.031e-08 -2.729e-05
51.900000 1.828e-08 9.915e-06
52.000000 5.627e-08 3.052e-05
52.100000 1.654e-08 8.971e-06
52.200000 -4.119e-08 -2.234e-05
52.300000 -3.918e-08 -2.125e-05
52.400000 1.424e-08 7.722e-06
52.500000 4.382e-08 2.377e-05
52.600000 1.288e-08 6.987e-06
52.700000 -3.208e-08 -1.740e-05
52.800000 -3.051e-08 -1.655e-05
52.900000 1.109e-08 6.014e-06
53.000000 3.413e-08 1.851e-05
53.100000 1.003e-08 5.441e-06
53.200000 -2.498e-08 -1.355e-05
53.300000 -2.376e-08 -1.289e-05
53.400000 8.634e-09 4.683e-06
53.500000 2.658e-08 1.442e-05
53.600000 7.813e-09 4.238e-06
53.700000 -1.946e-08 -1.055e-05
53.800000 -1.851e-08 -1.004e-05
53.900000 6.725e-09 3.647e-06
54.000000 2.070e-08 1.123e-05
54.100000 6.085e-09 3.300e-06
54.200000 -1.515e-08 -8.219e-06
54.300000 -1.441e-08 -7.818e-06
54.400000 5.237e-09 2.841e-06
54.500000 1.612e-08 8.744e-06
54.600000 4.739e-09 2.570e-06
54.700000 -1.180e-08 -6.401e-06
54.800000 -1.123e-08 -6.089e-06
54.900000 4.079e-09 2.212e-06
55.000000 1.255e-08 6.810e-06
55.100000 3.690e-09 2.002e-06
55.200000 -9.191e-09 -4.985e-06
55.300000 -8.742e-09 -4.742e-06
55.400000 3.176e-09 1.723e-06
55.500000 9.778e-09 5.304e-06
55.600000 2.874e-09 1.559e-06
55.700000 -7.158e-09 -3.882e-06
55.800000 -6.809e-09 -3.693e-06
55.900000 2.474e-09 1.342e-06
56.000000 7.615e-09 4.130e-06
56.100000 2.238e-09 1.214e-06
56.200000 -5.574e-09 -3.024e-06
56.300000 -5.303e-09 -2.876e-06
56.400000 1.927e-09 1.045e-06
56.500000 5.931e-09 3.217e-06
56.600000 1.743e-09 9.456e-07
56.700000 -4.341e-09 -2.355e-06
56.800000 -4.130e-09 -2.240e-06
56.900000 1.500e-09 8.139e-07
57.000000 4.619e-09 2.505e-06
57.100000 1.358e-09 7.364e-07
57.200000 -3.381e-09 -1.834e-06
57.300000 -3.216e-09 -1.744e-06
57.400000 1.169e-09 6.338e-07
57.500000 3.597e-09 1.951e-06
57.600000 1.057e-09 5.735e-07
57.700000 -2.633e-09 -1.428e-06
57.800000 -2.505e-09 -1.359e-06
57.900000 9.101e-10 4.936e-07
58.000000 2.801e-09 1.520e-06
58.100000 8.235e-10 4.467e-07
58.200000 -2.051e-09 -1.112e-06
58.300000 -1.951e-09 -1.058e-06
58.400000 7.088e-10 3.844e-07
58.500000 2.182e-09 1.183e-06
58.600000 6.413e-10 3.479e-07
58.700000 -1.597e-09 -8.663e-07
58.800000 -1.519e-09 -8.240e-07
58.900000 5.520e-10 2.994e-07
59.000000 1.699e-09 9.216e-07
59.100000 4.995e-10 2.709e-07
59.200000 -1.244e-09 -6.747e-07
59.300000 -1.183e-09 -6.418e-07
59.400000 4.299e-10 2.332e-07
59.500000 1.323e-09 7.178e-07
59.600000 3.890e-10 2.110e-07
59.700000 -9.687e-10 -5.254e-07
59.800000 -9.214e-10 -4.998e-07
59.900000 3.348e-10 1.816e-07
60.000000 1.031e-09 5.590e-07
60.100000 3.029e-10 1.643e-07
60.200000 -7.544e-10 -4.092e-07
60.300000 -7.176e-10 -3.892e-07
60.400000 2.607e-10 1.414e-07
60.500000 8.026e-10 4.353e-07
60.600000 2.359e-10 1.280e-07
60.700000 -5.875e-10 -3.187e-07
60.800000 -5.589e-10 -3.031e-07
60.900000 2.031e-10 1.101e-07
61.000000 6.251e-10 3.390e-07
61.100000 1.837e-10 9.966e-08
61.200000 -4.576e-10 -2.482e-07
61.300000 -4.353e-10 -2.361e-07
61.400000 1.581e-10 8.578e-08
61.500000 4.868e-10 2.641e-07
61.600000 1.431e-10 7.762e-08
61.700000 -3.564e-10 -1.933e-07
61.800000 -3.390e-10 -1.839e-07
61.900000 1.232e-10 6.681e-08
62.000000 3.791e-10 2.056e-07
62.100000 1.114e-10 6.045e-08
62.200000 -2.775e-10 -1.505e-07
62.300000 -2.640e-10 -1.432e-07
62.400000 9.592e-11 5.203e-08
62.500000 2.953e-10 1.602e-07
62.600000 8.679e-11 4.708e-08
